Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
,19/01/2006,154,Yellow,1100,1140,1130,
,20/01/2006,154,Yellow,1120,1141,1130,
,21/01/2006,187.6,Yellow,1100,1145,1130,
,22/01/2006,201.4,Yellow,1100,1148,1130,
,24/01/2006,184.1,Yellow,1100,1150,1140,
,25/01/2006,174.1,Yellow,1107,1149,1140,
,27/01/2006,200,Yellow,1100,1150,1140,
,28/01/2006,225.4,Yellow,1110,1160,1150,
,31/01/2006,161.1,Yellow,1135,1154,1140,
Burhanpur,02/01/2006,31,Yellow,1030,1100,1076,
,03/01/2006,8,Yellow,1050,1095,1084,
,04/01/2006,12.5,Yellow,1080,1130,1120,
,05/01/2006,10,Yellow,1107,1125,1110,
,06/01/2006,16,Yellow,1041,1120,1095,
,09/01/2006,9,Yellow,1130,1148,1134,
,12/01/2006,9,Yellow,1100,1138,1123,
,13/01/2006,24,Yellow,1050,1143,1120,
,16/01/2006,29,Yellow,1101,1150,1147,
,17/01/2006,16,Yellow,1127,1142,1140,
,18/01/2006,12.5,Yellow,1087,1115,1112,
,19/01/2006,5,Yellow,1098,1131,1114,
,23/01/2006,2.5,Yellow,1125,1125,1125,
,24/01/2006,15.5,Yellow,1110,1140,1128,
,25/01/2006,10.5,Yellow,1092,1138,1134,
,27/01/2006,20,Yellow,1011,1125,1120,
,30/01/2006,10,Yellow,1040,1135,1129,
,31/01/2006,6.5,Yellow,1036,1136,1130,
Chaurai,20/01/2006,50,Other,1073,1114,1100,
,24/01/2006,187,Other,1041,1150,1095,
,25/01/2006,155,Other,1051,1110,1080,
,27/01/2006,87,Other,1061,1115,1092,
,29/01/2006,178,Other,1025,1119,1075,
,31/01/2006,323,Other,1000,1125,1075,
Chhindwara,02/01/2006,83.8,Yellow,1040,1096,1068,
,03/01/2006,126.4,Yellow,1016,1103,1059,
,04/01/2006,72.2,Yellow,1080,1138,1109,
,06/01/2006,188.9,Yellow,1068,1131,1099,
,07/01/2006,88.9,Yellow,1082,1130,1106,
,09/01/2006,121.7,Yellow,1052,1177,1114,
,10/01/2006,92.9,Yellow,1115,1173,1144,
,13/01/2006,71.1,Yellow,1103,1140,1121,
,14/01/2006,2.9,Yellow,1123,1126,1125,
,16/01/2006,58,Yellow,1011,1150,1080,
,17/01/2006,90,Yellow,1000,1135,1067,
,18/01/2006,29.7,Yellow,1090,1131,1110,
,19/01/2006,69.3,Yellow,972,1121,1098,
,20/01/2006,57.7,Yellow,1080,1126,1103,
,21/01/2006,43.3,Yellow,1087,1132,1109,
,23/01/2006,63.6,Yellow,1097,1175,1136,
,24/01/2006,32.8,Yellow,1037,1122,1079,
,25/01/2006,34.8,Yellow,1110,1141,1125,
,27/01/2006,82.3,Yellow,1071,1127,1099,
,28/01/2006,87.7,Yellow,1075,1130,1102,
,30/01/2006,46.9,Yellow,1060,1132,1096,
,31/01/2006,36.9,Yellow,1056,1127,1091,
Dabra,20/01/2006,14,Yellow,1071,1105,1100,
Damoh,02/01/2006,119,Yellow,985,1069,1057,
